Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,descript_1,type,htmlpopup,layerId,xcoord,ycoord
Muehlestrasse-berm-1,"20-04-2021, survey area is green area between bounded by the sidewalk, fence and bridge.",,,,,-1,0,-1,,,,marker,,,2587286.16169698,1221568.18695673
eidochsweg-suze-2,"survey area between cemetery and forest edge, area where chain link fence forms boundary (about 40 meters)
17-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(eidochsweg
suze 2)</div><div>survey area between cemetery and forest edge, area where chain link fence forms boundary (about 40 meters)
17-04-2021
20-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2587272.73137384,1221883.17592248
eidochsweg-suze-1,"survey area is flat area between cemetery and tree line, bounded by sidewalk and point where wall turns in.
17-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(eidochsweg
suze 1)</div><div>survey area is flat area between cemetery and tree line, bounded by sidewalk and point where wall turns in.
17-04-2021
20-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2587302.54547449,1221921.35619459
schloesslifeld-suze-1,"survey area is between sidewalk, rocky area leading to beach and suze, extending about 15 meters to the right of the rocks.
17-04-2021",,,,,-1,0,-1,,,,marker,,,2587288.56919227,1222123.50333389
schloesslifeld-suze-5,"survey area is between concrete structure and suze, from bridge to end end of concrete area downstream
26-05-2021",,,,,-1,0,-1,,,,marker,,,2587278.13633553,1221927.63449106
schloesslifeld-suze-2,"survey area is between suze and path, extending the length of the right bunch of trees.
12-05-2021",,,,,-1,0,-1,,,,marker,,,2587283.68377323,1222179.43514482
schloesslifeld-suze-3,,,,,,-1,0,-1,,,,marker,,,2587271.29648653,1222203.1421956
Langholz-forest-1,"area to the left and and right of the road just before the newly planted treeline on left, until treeline on right.",,,,,-1,0,-1,,,,marker,,,2588622.89056099,1220860.61176016
langholz-forest-2,"survey area about 20 meters long on left side of road, extenidng about 2 meters deep, starting about 15 meters from main road",,,,,-1,0,-1,,,,marker,,,2588715.1375559,1220821.41239677
Laengholz-forest-7,survey area is between building and slope towards molasseweg,,,,,-1,0,-1,,,,marker,,,2587435.27284506,1220991.20169268
Laengholz-forest-8,survey area is,,,,,-1,0,-1,,,,marker,,,2587377.33731867,1221000.77497677
vorhoelzli-forest-2,"12-03-2021;(more), survey area along left side of path starting from forest edge, extending about 20 meters along path, about 5 meters into the forest area.",,,,,-1,0,-1,,,,marker,,,2588749.12552267,1221296.78853569
"vorhoelzli
forest 3","survey area is clearing behind zurich fitness trail station.
14-05-2021",,,,,-1,0,-1,,,,marker,,,2588997.15899366,1221335.62191689
"vorhoelzli
forest 4","survey area the right side of the path about 4 meters wide
14-05-2021",,,,,-1,0,-1,,,,marker,,,2588863.76077983,1221351.10286045
Vorhoelzli-forest-1,"survey area on right side of path, starting 3 meters before stream pool, extending about 6 meters to the left.
14-05-2021",,,,,-1,0,-1,,,,12-03-2021,,,2588695.76196655,1221479.27350179
Sonnenfeld-suze-1,"13-05-2021, 22-02-2021, surveyed from  hedgerow, the stairs into the reiver, and a bit further.
",,,,,-1,0,-1,,,,marker,,,2587203.32147477,1222299.23345296
parc-renfer-suze-1,"20-04-2021, 03-02-2021, 23-02-2021, surveyed area between building and stone stairs, between path and river
",,,,,-1,0,-1,,,,marker,,,2587105.86229129,1222402.50497554
buerenstrasse-suze-5,"survey area is from path to river edge, including exposed bank area.",,,,,-1,0,-1,,,,marker,,,2587127.93615872,1222404.45804056
Buerenstrasse-Suze-1,"survey area bounded by road, bridge, river on each side. surveyed river edge as possible from island.
12-05-2021
08-04-2021
06-02-2021 (to be entered)",,,,,-1,0,-1,,,,marker,,,2587068.66999674,1222492.638464
Buerenstrasse-Suze-2,"survey area is the grass / tree area between the parking lot and the suze.
20-03-2021
22-02-2021",,,,,-1,0,-1,,,,marker,,,2587083.83781551,1222492.60531102
buerenstrasse-suze-4,"survey area is between trees, from path to beach area",,,,,-1,0,-1,,,,marker,,,2587100.62211374,1222433.97910812
buerenstrasse-suze-3,"survey area is entire ramp and gravel path between the walls and the river.
20-03-2021, 20-04-2021, 06-02-2021",,,,,-1,0,-1,,,,,,,2587088.02483834,1222465.13578217
"Fuchsenried
forest 1","survey area is entrance to forest path, about 1 meter on each side of path, about 2 meters into forest
08-05-2021",,,,,-1,0,-1,,,,24-02-2021,,,2586809.71961461,1222647.18874413
Schuessinsel-Suze-4,"surveyed the exposed beach bounded on one side by the wall and on three sides by the river. 40% of size visible on swisstopo due to high water level.
14-03-2021",,,,,-1,0,-1,,,,marker,,,2587153.49456883,1221776.1494269
Schuessinsel-Kanal-1,"survey area bounded by bridge, suze diversion, and wall.
14-04-2021
22-02-2021",,,,,-1,0,-1,,,,marker,,,2587057.04457543,1221789.58962794
Schuessinsel-Kanal-4,surveyed area between kanal and play area,,,,,-1,0,-1,,,,marker,,,2587124.92487726,1221822.57173879
Muehlestrasse-Suze-1,"survey area is between path, suze and and bridge, extending until edge of wall, about 30 meters.
17-04-2021",,,,,-1,0,-1,,,,marker,,,2587202.39996743,1221838.41282604
"Schuessinsel
Suze 3","Surveyed the top edge of the embankment and as far down as possible to see closely.
14-04-2021",,,,,-1,0,-1,,,,marker,,,2587159.53699146,1221834.2810798
Schuessinsel-area-1,"surveyed the larger of the two grassy mounds that contains two trees.
14-3-2021",,,,,-1,0,-1,,,,marker,,,2587147.43498131,1221849.7607648
eidochsweg-suze-3,"survey area bounded by wall on left, cemetery, treeline, and the start of the chain link fence ( about 25 meters from end of wall.
17-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(eidochsweg
suze 3)</div><div>survey area bounded by wall on left, cemetery, treeline, and the start of the chain link fence ( about 25 meters from end of wall.
17-04-2021
20-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2587244.29749272,1221852.10805575
schloesslifeld-suze-4,"survey area is between sidewalk, raised area and suze, about 5 meters
20-04-2021
26-05-2021",,,,,-1,0,-1,,,,marker,,,2587254.64734762,1221903.33764069
Schuessinsel-Kanal-2,"survey area is the approximate triangle bounded by the path, the gravel area and the suze.
17-04-2020",,,,,-1,0,-1,,,,marker,,,2586975.03899357,1221714.61505785
schuessinsel-suze-10,"survey area from line perpendicular from bridge to final three planted trees, from path to river.",,,,,-1,0,-1,,,,marker,,,2587035.86210684,1221710.92379255
Schuessinsel-Kanal-3,"survey area is the approximate triangle between the hedgerow, the suze island canal, and the gravel area.
17-04-2021",,,,,-1,0,-1,,,,marker,,,2586933.89615799,1221699.91947907
Schuessinsel-suze-9,surveyed grassy area between the paths,,,,,-1,0,-1,,,,marker,,,2586939.60324566,1221673.8918143
Schuessinsel-Kanal-7,"survey area between path and kanal, from bridge to line extending from far edge of building across kanal",,,,,-1,0,-1,,,,marker,,,2586897.38188813,1221651.86129032
Schuessinsel-Suze-8,"surveyed between river and path, from 5 meters before path breaks off to about halfway to where path meets beach",,,,,-1,0,-1,,,,marker,,,2586967.60789462,1221681.16761454
schuessinsel-suze-7,"survey area is berm bounded by sidewalk, including lawn in front of small building. area extends about 30 meters from bridge, including to river.
19-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586894.16185975,1221533.68892955
schuessinsel-kanal-5,"01.03, surveyed from first big tree to final big tree, to river edge.",,,,,-1,0,-1,,,,marker,,,2587036.4015264,1221749.38932234
Fussweg-Suze-1,"survey area is between side walk and river, and between the two bridges.
13-04-2021
14-03-2021",,,,,-1,0,-1,,,,marker,,,2586562.17712278,1221408.13859066
schuessinsel-suze-5,"survey area is area between bridge, berm and river, including the bank of the river, small rocky face and grassy area. extending about 20 meters from bridge into berm
15-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586624.04125505,1221427.45406772
schuessinsel-suze-6,"survey about 10 meters around 2nd tree on gottstrasse, did not descend to beach area on 1st survey.
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586727.3950183,1221446.12106292
scheussinsel-kanal-6,"surveyed area between path, chapel and suze",,,,,-1,0,-1,,,,marker,,,2586690.37672505,1221478.88982155
Schuessinsel-Suze-2,"surveyed area bounded by the river, the path, the line drawn from where the newly installed shrubbery ends, about 4 meters past bridge railing.
12-04-2021",,,,,-1,0,-1,,,,marker,,,2586663.85899823,1221458.82680069
Schuessinsel-Suze-1,"surveyed form where area widens to where it narrows, see photos for reference
12-04-2021",,,,,-1,0,-1,,,,marker,,,2586634.27786542,1221459.44944814
"Fuchsenried
Forest 2","survey area is junction between road and forest path and surrounding area. February survey is more expansive due to lack of flowers visible.
08-05-2021
24-02-2021",,,,,-1,0,-1,,,,,,,2586787.8131951,1222801.28271858
"Fuchsenried
Forest 3",survey area is final ten meters of forest road until the fence/gate. surveyed both sides of path.,,,,,-1,0,-1,,,,marker,,,2586790.18325832,1222932.06457277
Holunderweg-Madretschkanal-2,"survey area starts from end of area 1 and continues until concrete obstruction of berm/trees, about 35 meters
16-04-2021
14-03-2021
09-02-2021",,,,,-1,0,-1,,,,,,,2586186.74312769,1221100.3804534
Holunderweg-Madretschkanal-1,"survey area is madretschkanal berm between bridge and extending 30 meters out.
13-05-2021
16-04-2021
14-03-2021
09-02-2021
",,,,,-1,0,-1,,,,,,,2586191.43656392,1221128.71921407
Schleusenweg-suze-1,"survey area is from dam to first light post
15-04-2021",,,,,-1,0,-1,,,,marker,,,2586216.7667784,1221223.82626719
Schleusenweg-suze-3,"survey area is from lightpost to end of concrete path.
15-04-2021",,,,,-1,0,-1,,,,marker,,,2586261.36224464,1221253.18401367
Schleusenweg-suze-2,"survey area is between two lightposts
15-04-2021",,,,,-1,0,-1,,,,marker,,,2586238.72386517,1221238.78382937
fussweg-Suze-3,"12-04-2021
19-05-2021",,,,,-1,0,-1,,,,marker,,,2586442.57637531,1221284.45092487
fussweg-suze-4,"suveyed green area between sidewalk and fence starting from edge of building extending 10 meters.
12-04-2021",,,,,-1,0,-1,,,,marker,,,2586436.74271586,1221287.57720852
fussweg-Suze-2,"surveyed area between path and river and between where the berm totally ends and the small bridge.
12-05-2021
13-04-2021
14-03-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(Suze fussweg
Suze 2)</div><div>surveyed area between path and river and between where the berm totally ends and the small bridge.
13-04-2021
14-03-2021</div></div>",KML||https://public.geo.admin.ch/J8AsDWKnTgayCQFzjAHfzw,2586547.17265512,1221381.15707165
Mattenstrasse-Area-1,"surveyed the small park area, bounded by a hedgerow and the roads. very large tree. lots of dirt/path. mahonia adquifolium not looing happy. hedge rows not identified (10.04)",,,,,-1,0,-1,,,,marker,,,2586029.82600376,1220663.9410838
Mattenstrasse-Berm-1,"surveyed wild area, had just been fully cut back a few days (a week?) prior.
10-04-2021
13-05-2021

relatively barren, lots of graasses",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(10-04
Mattenstrasse 
Berm 1)</div><div>surveyed wild area, had just been fully cut back a few days (a week?) prior.

relatively barren, lots of graasses</div></div>",KML||https://public.geo.admin.ch/56a59BHVTviHH1bu7uHxFg,2586046.59150344,1220696.03117601
Mattenstrasse-Berm-2,"cultivated area, grass mowed, some bulb plants, etc, 10-04
",,,,,-1,0,-1,,,,marker,,,2586077.43752016,1220715.52536272
Mattenstrasse-Berm-3,"non cultivated part of berm, surveyed until the final narrowing of the green area. 10-04
",,,,,-1,0,-1,,,,marker,,,2586092.03093983,1220727.38679635
mettstrasse-lot-1,"survey area is gravelly road and both sides of it, up to wall edge, and up to trashbags, slightly before trashbags.
25-05-2021",,,,,-1,0,-1,,,,marker,,,2586617.31727443,1220869.36901713
holunderweg-Madretschkanal-4,"survey area from fence to madretschkanal, bounded on sides by the lines extending from the 2 residential buildings across the fence.
12-05-2021
16-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586088.06939303,1221017.0967299
holunderweg-Madretschkanal-3,"survey area is from fence to river and from sidewalk to about 20 meters into area
13-05-2021
16-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586167.66194886,1221050.39612584
"Riedweg
forest 1","survey area is edge of forest and about 5 meters into forest behind barbecue area
26-03-2021",,,,,-1,0,-1,,,,marker,,,2587154.37383874,1220260.16114855
Laengholz-forest-6,,,,,,-1,0,-1,,,,marker,,,2587785.66364511,1220330.19804087
laengholz-Forest-15,survey area is the left and right side of buchenweg for about 20 meters starting with an exposed hill with lots of early flowering plants.,,,,,-1,0,-1,,,,marker,,,2586657.44522179,1219421.88952331
Laengholz-Forest-3,"survey area is about 4 meters wide by 8 meters long, bounded by paths.
08-03-2021",,,,,-1,0,-1,,,,marker,,,2587079.79093736,1219563.25605824
Bermenstrasse-Berm-2,"surveyed from underneat bridge to edge of house and shortly upwards from the ""path""",,,,,-1,0,-1,,,,marker,,,2586416.99545735,1219624.44154477
Bermenstrasse-Area-1,"survey area between fence and bermenstrasse
03-04-2021
03-05-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(Bermenstrasse
Area 1)</div><div>survey area between fence and bermenstrasse
03-04-2021</div></div>",KML||https://public.geo.admin.ch/f6MfU8pdTEq-PfHgCqoWNA,2586409.62832756,1219654.36453858
Laengholz-forest-4,"survey area is exposed forest edge, about 8 meters long, 2 meters deep.",,,,,-1,0,-1,,,,marker,,,2587000.69020653,1219677.59493435
Laengholz-forest-5,"Galanthus nivalis
Large patch extended 4-5 meters in all directions of both galanthus nivalis and Corydalis solida in full flower with seemingly more of each (especially CS) to come, Very large patch of Crocus vernus flowering next to a small goat farm.",,,,,-1,0,-1,,,,marker,,,2586984.52802535,1220253.13929588
"Pfeidli
Forest 2",survey area is along the path at the entrance to the remaining forest,,,,,-1,0,-1,,,,marker,,,2587482.08085912,1218992.54192781
Pfeidli-forest-4,"17-03, 16-05, survey area is clearing around path into forest and just into forest area, about 10 square meters",,,,,-1,0,-1,,,,marker,,,2587186.45296322,1218972.12949607
Pfeidli-forest-1,"survey area is the newly cleared forest and the trees to the left, adjascent to pfeidwaldstrasse, 16-05-2021, 17-03-2021",,,,,-1,0,-1,,,,marker,,,2587217.58365564,1219012.11844224
"Pfeidli
Forest 3","survey area is entrance to forest, about 2 meters in on each side of the path, about 2 meters from the path in each direction.
16-05-2021",,,,,-1,0,-1,,,,marker,,,2587373.90031359,1219212.86469549
bielstrasse-berm-3,"survey area is left side of road, from speed sign to bike path underneath road/highway",,,,,-1,0,-1,,,,marker,,,2586648.19086793,1219318.90681766
Bielstrasse-berm-4,"survey area is green patch between left branch of path and fenced off/gravel area.
23-05-2021",,,,,-1,0,-1,,,,marker,,,2586624.36728953,1219357.03803842
bielstrasse-berm-2,"survey area is green area between sidewalk and cemetery
22-05-2021",,,,,-1,0,-1,,,,marker,,,2586576.7225721,1219393.83366351
"Lokomotivdepot
area 3",A very nice pine tree was cut down between Mar 2020 and 04.04.2021 and an interesting little pine biotope destroyed,,,,,-1,0,-1,,,,marker,,,2586292.99116147,1219876.65013364
bermenstrasse-area-2,"survey area between ttree/shrub line and edge of road,
03-05-2021",,,,,-1,0,-1,,,,marker,,,2586355.56085201,1219964.33383474
Bermenstrasse-Berm-5,"surveyed between bridge and end of row of five trees, wandered from top to bottom.",,,,,-1,0,-1,,,,marker,,,2586339.08835847,1220059.31537745
bermenstrasse-berm-4,survey area between small conifer and 5 meters before rock circle on map.,,,,,-1,0,-1,,,,marker,,,2586341.67716642,1219964.69939148
"Lindenweg
area 1","survey area between road and train sound barrier.
04-04-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(04-04
Lindenweg)</div><div></div></div>",KML||https://public.geo.admin.ch/56a59BHVTviHH1bu7uHxFg,2586321.74210611,1220235.56803452
Blumenrain-Berm-1,"surveyed the entire berm area between until the road curves away.
05-04-2021",,,,,-1,0,-1,,,,marker,,,2586263.23987099,1220245.28686342
Blumenrain-Box-1,"05-04, 03-07
",,,,,-1,0,-1,,,,marker,,,2586226.46347776,1220208.10644541
Rebenweg-Area-1,"survey area between bermenstrasse and rebenweg until building.
04-04-2021
03-05-2021
03-07-2021",,,,,-1,0,-1,,,,,,,2586355.16592141,1220089.18438522
"Portplatz
Box 1","survey area is the center of the roundabout.
05-04-2021
19-05-2021",,,,,-1,0,-1,,,,marker,,,2586314.11215575,1219626.45740361
Brueggstrasse-berm-2,"surveyed area from tree/shrub line until 4th municipal tree
04-04-2021
19-05-2021
Survey area: extended from the treeline to the Forsythia x intermedia, just after the start of the second property, and between the highway and the fence.
Survey area is ve",,,,,-1,0,-1,,,,marker,,,2586346.9028475,1219644.91453035
Brueggstrasse-Box-1,03-04-2021,,,,,-1,0,-1,,,,marker,,,2586249.40174359,1219696.8700323
Bermenstrasse-Berm-1,"surveyed area immediately around path, in flat ground at bottom, avoided stepping on delicate terrain, plants largely visible.
22-05-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(Bermenstrasse
Berm 1)</div><div>surveyed area immediately around path, in flat ground at bottom, avoided stepping on delicate terrain, plants largely visible.</div></div>",KML||https://public.geo.admin.ch/Kyc8bpb7S3qy_BBTHcBgzQ,2586406.57722575,1219647.36752112
Brueggstrasse-Box-2,03-04-2021,,,,,-1,0,-1,,,,marker,,,2586192.15716483,1219747.03209491
Bermenstrasse-Berm-3,Surveyed berm opposite the plots of land between the two streets.,,,,,-1,0,-1,,,,marker,,,2586337.45796071,1219846.08532703
"Portstrasse
Area 2","survey area between sidewalk and fence, bounded by sidewalk to the same first tree in area 1
03-05-2021",,,,,-1,0,-1,,,,marker,,,2586350.47832807,1219570.00768001
erlacherweg-park-5,22-05-20221,,,,,-1,0,-1,,,,marker,,,2586339.88172204,1219351.239785
