art,jahr,standort,menge,letzte aktualisierung,bearbeitet,lagerbehaelter
onobrychis viciifolia,2019,neuchatel,1 gefaess,Oct-21,yes,plastikkiste
ononis spinosa,2013,rubigen,4 essloeffel,Oct-21,yes,plastikkiste
ononis spinosa,2020,ursula albrecht,2 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2019,volo,2 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2015,ursula albrecht,2 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2015,ursula albrecht,2 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2020,ursula albrecht,3 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2019,ursula albrecht,2 essloeffel,Oct-21,yes,plastikkiste
origanum vulgare,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
origanum vulgare,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
papaver rhoeas,2017,volo,1/3 gefaess,Oct-21,yes,plastikkiste
papaver rhoeas,2019,volo,1 teeloeffel,Oct-21,yes,plastikkiste
papaver somniferum,2018,volo,1 sehr klein gefaess,Oct-21,yes,plastikkiste
plantago sp.,-,-,1/3 gefaess,Oct-21,yes,plastikkiste
polygonatum sp.,2019,neuchatel,1 essloeffel,Oct-21,no,plastikkiste
potentiall recta,2015,volo,1 gefaess,Oct-21,yes,plastikkiste
potentilla erecta,2020,volo,1 sehr klein gefaess,Oct-21,yes,plastikkiste
potentilla nepalensis,2016,volo,3 essloeffel,Oct-21,yes,plastikkiste
potentilla nepalensis,2015,volo,2 essloeffel,Oct-21,yes,plastikkiste
potentilla recta,2020,rubigen,1 sehr klein gefaess,Oct-21,yes,plastikkiste
potentilla recta,2016,volo,4 essloeffel,Oct-21,yes,plastikkiste
potentilla recta,-,rubigen,1/2 klein gefaess,Oct-21,yes,plastikkiste
primula veris,2019,volo,2 essloeffel,Oct-21,yes,plastikkiste
primula veris,2020,volo,2 teeloeffels,Oct-21,yes,plastikkiste
primula veris,2017,volo,1 essloeffel,Oct-21,yes,plastikkiste
pulicaria dysentercia,2016,volo,1/2 gefaess,Oct-21,yes,plastikkiste
pulmonaria officinalis,2019,volo,2 essloeffel,Oct-21,yes,plastikkiste
salvia glutinosa,2020,ticino,2 essloeffel,Oct-21,yes,plastikkiste
salvia officinalis,2016,jorat,1/5 gefaess,Oct-21,yes,plastikkiste
salvia officinalis,2018,volo,4 essloeffel,Oct-21,yes,plastikkiste
salvia pratensis,2020,ursula albrecht,1 gefaess,Oct-21,yes,plastikkiste
salvia pratensis,2020,ursula albrecht,1 gefaess,Oct-21,yes,plastikkiste
salvia pratensis,2018,ursula albrecht,4 essloeffel,Oct-21,yes,plastikkiste
salvia pratensis,2014,rubigen,1/3 klein gefaess,Oct-21,yes,plastikkiste
salvia pratensis,2016,ursula albrecht,1/2 gefaess,Oct-21,yes,plastikkiste
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia sclarea,2020,volo,1/5 gefaess,Oct-21,yes,plastikkiste
salvia verticillata,2016,volo,1  essloeffel,Oct-21,yes,plastikkiste
salvia verticillata,2019,orvin,1 klein package,Oct-21,yes,plastikkiste
sanguisorba minor,2021,rubigen,3 essloeffel,Oct-21,yes,plastikkiste
sanguisorba minor,-,rubigen,1 klein gefaess,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,jorat,1/2 klein gefaess,Oct-21,yes,plastikkiste
sanguisorba officinalis,2015,volo,3 essloeffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,volo,1  essloeffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2019,volo,1  essloeffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,lobsigen,1/2 sehr klein gefaess,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,volo,5 essloeffel,Oct-21,yes,plastikkiste
saponaria ocymoides,2012,volo,1 sehr klein gefaess,Oct-21,yes,plastikkiste
saponaria officinalis,2019,rubigen,5 essloeffel,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1/3 gefaess,Oct-21,yes,plastikkiste
scabiosa columbaria,2019,ursula albrecht,1/5 gefaess,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1 klein gefaess,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1/4 gefaess,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
sedum album,2015,volo,1  essloeffel,Oct-21,yes,plastikkiste
sedum album,2020,volo,1  essloeffel,Oct-21,yes,plastikkiste
sedum reflexum,2020,jorat,1 teeloeffel,Oct-21,yes,plastikkiste
sedum telephium,2020,volo,1/3 klein gefaess,Oct-21,yes,plastikkiste
silene acaulis,2020,greina,2 essloeffel,Oct-21,yes,plastikkiste
silene armeria,2017,volo,1  essloeffel,Oct-21,yes,plastikkiste
silene dioica,2019,volo,2 essloeffel,Oct-21,yes,plastikkiste
silene dioica,2015,volo,1  essloeffel,Oct-21,yes,plastikkiste
silene dioica,2017,jorat,1  essloeffel,Oct-21,yes,plastikkiste
silene flos-cuculi,2020,ursula albrecht,4 essloeffel,Oct-21,yes,plastikkiste
silene flos-cuculi,2019,volo,1 essloeffel,Oct-21,yes,plastikkiste
silene nutans,2019,rubigen,3 essloeffel,Oct-21,yes,plastikkiste
silene vulgaris,2015,volo,1/6 gefaess,Oct-21,yes,plastikkiste
silybum marianum,2015,volo,1/2 gefaess,Oct-21,yes,plastikkiste
stachys recta,2019,volo,1  essloeffel,Oct-21,yes,plastikkiste
stachys recta,2020,HR,1/5 gefaess,Oct-21,yes,plastikkiste
stachys sylvatica,2019,evilard,2 essloeffel,Oct-21,yes,plastikkiste
stachys sylvatica,2019,zyst,1  essloeffel,Oct-21,yes,plastikkiste
succisa pratensis,2018,volo,1/3 gefaess,Oct-21,yes,plastikkiste
succisa pratensis,2019,volo,3 essloeffel,Oct-21,yes,plastikkiste
tanacetum parthenium,2020,volo,1 gefaess,Oct-21,yes,plastikkiste
tanacetum vulgare,2015,volo,1  essloeffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2020,lobsigen,2 essloeffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2020,?,1/4 gefaess,Oct-21,no,plastikkiste
teucrium chamaedrys,2019,volo,4 essloeffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2015,ursula albrecht,1 big container,Oct-21,yes,plastikkiste
thalictrum aquilegifolium,2019,volo,1  essloeffel,Oct-21,yes,plastikkiste
thalictrum aquilegifolium,2020,volo,1 teeloeffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,volo,1  essloeffel,Oct-21,yes,plastikkiste
thymus pulegioides,2016,volo,1 teeloeffel,Oct-21,yes,plastikkiste
thymus pulegioides,2019,ursula albrecht,1 teeloeffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,jorat,1  essloeffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
thymus pulegioides,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
thymus vulgaris,2016,volo,1 teeloeffel,Oct-21,yes,plastikkiste
tragopogon dubius,2019,rubigen,1/2 sehr klein gefaess,Oct-21,yes,plastikkiste
tragopogon pratensis,2019,rubigen,1/2 klein gefaess,Oct-21,yes,plastikkiste
tragopogon pratensis,2017,volo,1 big container,Oct-21,yes,plastikkiste
trifolium rubens,2020,volo,1  essloeffel,Oct-21,yes,plastikkiste
trollius europaeus,2020,engstlen,1 sehr klein gefaess,Oct-21,yes,plastikkiste
trollius europaeus,2020,metschalp,2 essloeffel,Oct-21,yes,plastikkiste
valeriana officinalis,2020,volo,2 essloeffel,Oct-21,yes,plastikkiste
verbascum blattaria,2015,volo,1 teeloeffel,Oct-21,yes,plastikkiste
verbascum blattaria,2016,volo,1/2 sehr klein gefaess,Oct-21,yes,plastikkiste
verbascum densiflorum,2019,ursula albrecht,1 sehr klein gefaess,Oct-21,yes,plastikkiste
verbascum densiflorum,2018,eschenbach,1  essloeffel,Oct-21,yes,plastikkiste
verbascum densiflorum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
verbascum lychnitis,2019,ursula albrecht,1/2 sehr klein gefaess,Oct-21,yes,plastikkiste
verbascum nigrum,2015,rubigen,1/2 klein gefaess,Oct-21,no,plastikkiste
verbascum nigrum,2019,rubigen,1/5 gefaess,Oct-21,yes,plastikkiste
verbascum nigrum,2016,volo,2 essloeffel,Oct-21,yes,plastikkiste
verbascum nigrum,2018,ursula albrecht,1 sehr klein gefaess,Oct-21,yes,plastikkiste
verbascum nigrum,2018,volo,2 essloeffel,Oct-21,yes,plastikkiste
verbascum nigrum,2019,rubigen,1/5 gefaess,Oct-21,yes,plastikkiste
verbascum nigrum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
verbascum phoeniceum,2018,evilard,1 teeloeffel,Oct-21,yes,plastikkiste
verbena officinalis,2019,volo,1 teeloeffel,Oct-21,yes,plastikkiste
verbena officinalis,2017,volo,1  essloeffel,Oct-21,yes,plastikkiste
veronica spicata,2015,volo,1  essloeffel,Oct-21,yes,plastikkiste
veronica spicata,2015,volo,2 essloeffel,Oct-21,yes,plastikkiste
veronica teucrium,2020,volo,2 essloeffel,Oct-21,yes,plastikkiste
veronica teucrium,2020,ursula albrecht,1/3 gefaess,Oct-21,no,plastikkiste
verbascum nigrum,2021,rubigen,½ Sack,Nov-21,,
Hypericum prolifium,2021,oeschberg,1 Handvoll,Nov-21,,
Betonica officinalis,2021,rubigen,1 kleiner Sack,Nov-21,,
Echium vulgare ,2021,rubigen,1 kleiner Sack,Nov-21,,
Carex (sempervirens?) TROCKENSTANDORT,2021,muri,1 Handvoll,Nov-21,,
Papaver orientale,2021,rubigen,wenig,Nov-21,,
Daucus carota,2021,rubigen,1 Handvoll,Nov-21,,
Cirsium arvense,2021,rubigen,¼ Handvoll,Nov-21,,
Filipendula vulgaris,2021,Bern weissenbuehl,¼ Handvoll,Nov-21,,
Centaurea macedonica,2021,Bern weissenbuehl,½ Handvoll,Nov-21,,
Astrantia major,2021,rubigen,1 Sack,Nov-21,,
Dianthus sylvestris,2021,rubigen,¼ Handvoll,Nov-21,,
Carlina vulgaris,2021,rubigen,1 kleiner Sack,Nov-21,,
Thalictrum aquilegifolium,2021,rubigen,1 kleiner Sack,Nov-21,,
Pastinaca sativa,2018,rubigen,1 kleiner Sack,Nov-21,,
Lunaria annua,2021,Bern weissenbuehl,1 Sack,Nov-21,,
Calendula officinalis,-,-,1/4  kiste,Nov-21,,
Achillea millefolium,2021,volo,2 kisten,Nov-21,,
Achillea millefolium,2021,pres d'orvin,1 hand voll,Nov-21,,
Agrimonia eupatoria,-,-,-,Nov-21,,
Agrostemma githago ,2021,volo,2/3 Kiste,Nov-21,,
Ajuga reptans          ,2021,volo,1 main,Nov-21,,
Alcea officinalis,2021,volo,halbe kiste voll,Nov-21,,
Alcea rosea,2021,volo,Halbe Kiste voll,Nov-21,,
Alchemilla alpina,2021,pres d'orvin,1 main,Nov-21,,
Alchemilla vulgaris,2021,pres d'orvin,1 Kiste voll,Nov-21,,
Alchemilla xanthochlora/vulgaris,2021,ursula albrecht,1/2 Kiste voll,Nov-21,,
Allium schoenoprasum,2021,volo,1/5 Kiste voll,Nov-21,,
Allium sphaerocephalon,2021,volo,1 main,Nov-21,,
Allium vineale,2021,volo,1 hand voll,Nov-21,,
Aloysia triphylla,2021,volo,0,Nov-21,,
Althaea officinalis,2021,volo,1/2 main,Nov-21,,
anaethum grareoleus,2021,volo,1 hand voll,Nov-21,,
Anchusa officinalis,-,-,0,Nov-21,,
Anemone nemorosa               ,-,-,0,Nov-21,,
Anemone silvestris,-,-,0,Nov-21,,
Anthemis tinctoria             ,-,-,0,Nov-21,,
Anthericum ramosum,2021,volo,1 Kiste voll,Nov-21,,
Anthyllis vulneraria ,-,-,0,Nov-21,,
Aquilegia atrata,2021,volo,1 hand voll,Nov-21,,
Aquilegia Vulgaris,2021,ursula albrecht,1 sac,Nov-21,,
Aquilegia vulgaris,2021,volo,1/5 Kiste,Nov-21,,
Armoracia rusticana,-,-,0,Nov-21,,
Artemisia absinthum,2020,ursula albrecht,1 Sack von UA 2020 ,Nov-21,,
Artemisia vulgaris,2021,volo,1/2 Sack,Nov-21,,
Aster amellus                  ,2021,volo,Halbe kiste voll,Nov-21,,
Aster linosyris,2021,volo,halbe kiste voll,Nov-21,,
Astrantia major,2021,volo,1 hand voll,Nov-21,,
Astrantia major                ,2021,volo,1 main,Nov-21,,
Betonica officinalis,2021,volo,1 Kiste voll,Nov-21,,
Betonica officinalis,2021,spitzberg,halbe kiste,Nov-21,,
Betonica officinalis,2021,volo,hand voll,Nov-21,,
Borago offinalis,2021,volo,Halbe kiste Voll,Nov-21,,
Briza media,2021,ursula albrecht,1 sack,Nov-21,,
Briza media,2021,pres d'orvin,2 Fingerspitze,Nov-21,,
Briza media,2021,volo,fingerspitze,Nov-21,,
Buphthalmum salicifolium        ,2021,volo,1/2 Kiste,Nov-21,,
Calendula officinalis ,2021,Biel – vinelz,1/5 Kiste,Nov-21,,
Campanula glomerata            ,2021,volo,1/2 Kiste,Nov-21,,
Campanula persicifolia        ,2021,pres d'orvin,1 1/2 main,Nov-21,,
Campanula rotundifolia,2021,volo,2 fingerspitzen,Nov-21,,
Campanula rotundifolia         ,2021,spitzberg,1 main,Nov-21,,
Campanula trachelium           ,2021,volo,2 1/2 main,Nov-21,,
Cardamine heptaphylla,2021,pres d'orvin,1 sac,Nov-21,,
Carex montana,2021,pres d'orvin,1/2 main,Nov-21,,
Carlina vulgaris,2021,spitzberg,1 main,Nov-21,,
Carum carvi ,-,-,0,Nov-21,,
Catalanche caerulea,2021,volo,1 hand voll,Nov-21,,
Centaurea montana,2021,volo,halbe kiste,Nov-21,,
Centaurea jacacea,2021,spitzberg,2 hand voll,Nov-21,,
Centaurea montana,2021,volo,1 main,Nov-21,,
Centaurea scabiosa,2021,volo,halber sack voll,Nov-21,,
Centaurea scabiosa,2021,spitzberg,hand voll,Nov-21,,
Centaurium erythraea,2021,volo,1/2 hand voll,Nov-21,,
Campanula rotundifolia,2021,volo,Halbe kiste,Nov-21,,
Cichorium intybus,2021,volo,grosse kiste voll,Nov-21,,
Cichorium intybus              ,2021,pres d'orvin,1/2 Sack,Nov-21,,
Cirsium vulgare,2021,pres d'orvin,halbe kiste,Nov-21,,
Cisseaux Couteau,2021,volo,1/4 kiste,Nov-21,,
Consolida regalis ,2021,volo,2 mains,Nov-21,,
Convallaria majalis            ,-,-,0,Nov-21,,
Leontodon autumnalis,2021,spitzberg,1 hand voll,Nov-21,,
Daucus carota,2021,volo,1/3 sack ,Nov-21,,
Daucus carota,2021,volo,2/3 Kiste,Nov-21,,
Delphinium elatum,-,-,0,Nov-21,,
dianthus armeria,2021,rubigen,1 hand voll,Nov-21,,
Dianthus carthusianorum  ,2021,volo,1/2 Kiste,Nov-21,,
Dianthus deltoides             ,-,-,0,Nov-21,,
Dianthus superbus              ,2021,volo,1 main,Nov-21,,
Dianthus sylvestris,2021,volo,1 Kiste voll,Nov-21,,
Digitalis Lutea,2021,volo,halbe hand voll,Nov-21,,
Digitalis purpurea             ,2021,volo,1/4 Kiste,Nov-21,,
Dipsacus fullonum ,2021,volo,3/4 Kiste,Nov-21,,
Dracocephalum moldavica 1,2021,volo,2/3 Kiste,Nov-21,,
Echinacea purpurea,-,-,0,Nov-21,,
Echium vulgare ,2021,volo,1/2 Sack,Nov-21,,
Epilobium dodonei,2021,volo,1 sac,Nov-21,,
Eryngium planum,2021,volo,1 main,Nov-21,,
Escholtzia california,2021,pres d'orvin,1 main,Nov-21,,
Eupatorium cannabinum,-,-,0,Nov-21,,
Euphorbia cyparissias          ,2021,pres d'orvin,1/2 main,Nov-21,,
Filipendula ulmaria,2021,volo,1 Handvoll,Nov-21,,
Foeniculum vulgare ,2021,volo,1 Handvoll,Nov-21,,
Galium odoratum                ,-,-,0,Nov-21,,
Galium verum        ,2021,pres d'orvin,1 main,Nov-21,,
Genista tinctoria,2021,volo,Halbe kiste voll,Nov-21,,
Geranium phaeum,2021,volo,1 hand voll,Nov-21,,
Geranium pratense,-,-,UA?,Nov-21,,
Geranium sanguineum            ,2021,ursula albrecht,1 grosser Sack voll,Nov-21,,
Geranium sanguineum            ,2021,volo,1/6 Kiste,Nov-21,,
Geranium silvaticum,2021,ursula albrecht,1 grosser Sack voll,Nov-21,,
Geum rivale,2021,volo,1 main,Nov-21,,
Globularia punctata,2021,Biel – vinelz,1/2 main,Nov-21,,
Helianthemum nummularium,2021,Biel – vinelz,1 hand voll,Nov-21,,
Helianthemum nummularium,2021,spitzberg,1 hand voll,Nov-21,,
Helianthus annus,2021,volo,1 hand voll,Nov-21,,
heracleum spondyrlla,2021,spitzberg,1/3 sac,Nov-21,,
hieracium pilosella,2021,spitzberg,1 hand voll,Nov-21,,
Hypericum perforatum,2021,spitzberg,halber sack voll,Nov-21,,
Hypericum perforatum           ,2021,volo,1 Kiste,Nov-21,,
Hysopus officinalis,2021,volo,1/3 hand voll,Nov-21,,
iris sibirica,2021,volo,1 hand voll,Nov-21,,
Knautia dipsacifolia,2021,pres d'orvin,1/4 hand,Nov-21,,
Lactuca perennis,2021,pres d'orvin,1 handvoll,Nov-21,,
Lathyrus vernus    ,2021,volo,1 halbe kiste,Nov-21,,
Lavandula angustifolia,-,-,0,Nov-21,,
leontodon hispidus,2021,spitzberg,hand voll,Nov-21,,
Leonurus cardiaca,-,-,0,Nov-21,,
leonurus cardiaca,2021,volo,1/2 sac,Nov-21,,
Leucanthemum vulgare,2021,volo,1 fingerspitze,Nov-21,,
Leucanthemum vulgare,2021,volo,ganz wenig,Nov-21,,
Levisticum officinale,-,-,0,Nov-21,,
Linaria vulgaris,2021,volo,1 hand voll,Nov-21,,
Linum alpinum,-,-,,Nov-21,,
Lotus corniculatus    ,2021,ursula albrecht,1 sack,Nov-21,,
Lunaria rediviva,-,-,,Nov-21,,
Luzula nivea,2021,pery,1/5 kiste,Nov-21,,
Luzula nivea,2021,volo,Halbe kiste voll,Nov-21,,
Lychnis calcedonica,2021,volo,1 handvoll,Nov-21,,
Lychnis flos cuculi,2021,volo,1/4 sac,Nov-21,,
Lythrum salicaria,2021,volo,1 sack,Nov-21,,
lythrum salicaria,2021,Biel – vinelz,1/3 sac,Nov-21,,
lythrum salicaria,2021,volo,1/3 sack ,Nov-21,,
lythrum salicaria,2021,volo,halber sack voll,Nov-21,,
Malva alcea                    ,2021,Biel – vinelz,1/2 Kiste,Nov-21,,
Malva moschata,2021,ursula albrecht,1 kiste,Nov-21,,
Malva silvestris,2021,orvin,2 mains,Nov-21,,
Malva sylretris,2021,orvin,1 hand voll,Nov-21,,
marrubium vulgare,2021,ursula albrecht,1 hand voll,Nov-21,,
Matricaria chamomilla,2021,studen,1/2 Kiste,Nov-21,,
Medicago sativa,2021,orvin,1/2 Kiste,Nov-21,,
Melanpyrum arvensis,2021,volo,1 sac ,Nov-21,,
Melica Ciliata ,2021,volo,1 hand voll,Nov-21,,
Melilotus alba,2021,orvin,halber sack voll,Nov-21,,
Melilotus albus,2021,orvin,1 sack,Nov-21,,
Melissa officinalis,2021,orvin,1 sack,Nov-21,,
Mentha arabica,-,-,,Nov-21,,
Monarda dydima,-,-,,Nov-21,,
Monarda fistulosa,-,-,,Nov-21,,
Nepeta Citradora ,2021,volo,Halbe kiste voll,Nov-21,,
Nicolla damascena,2021,volo,1/2 hand voll,Nov-21,,
Nigella damascena ,2021,volo,1/2 main,Nov-21,,
Nigella Sativa,2021,ursula albrecht,1/2 sac,Nov-21,,
Nigella Sativa,2021,Biel – vinelz,2 hand voll,Nov-21,,
Ocimum basilicum ,-,-,,Nov-21,,
Onobrychis viciifolia          ,-,-,,Nov-21,,
Ononis repens,-,-,,Nov-21,,
Ononis spinosa    ,2021,ursula albrecht,1 Sack,Nov-21,,
Onopordum acanthium            ,2021,volo,1/2 Kiste,Nov-21,,
origanum vulgare,2021,orvin,1 hand voll,Nov-21,,
Papaver rhoeas ,2021,volo,,Nov-21,,
phyteuma ovata,2021,orvin,1/2 main,Nov-21,,
phyteuma spicata,2021,pres d'orvin,1 hand voll,Nov-21,,
Plantego major atropurpurea,2021,volo,1/4 kiste,Nov-21,,
Polemonium caeruleum           ,-,-,,Nov-21,,
Potentilla erecta              ,2021,volo,1 Kiste,Nov-21,,
Primula veris,2021,pres d'orvin,1 Fingerspitze,Nov-21,,
Primula veris       ,2021,volo,1/2 main,Nov-21,,
Priuuula reis,2021,volo,2/100 der Kiste,Nov-21,,
Prunella grandiflora,2021,pres d'orvin,1 hand voll,Nov-21,,
Prunella vulgaris,2021,volo,1 hand voll,Nov-21,,
Pulmonaria officinalis,2021,volo,sehr wenig,Nov-21,,
Pulsatilla vulgaris,-,-,,Nov-21,,
Rosmarinus officinalis,2021,volo,,Nov-21,,
Ruta graveolens,2021,volo,1/3 hand voll,Nov-21,,
Sadum rupestre,2021,volo,1 Kiste voll,Nov-21,,
Salvia glutinosa               ,2021,volo,1/2 Kiste,Nov-21,,
Salvia officinalis,2021,volo,,Nov-21,,
salvia pratensis,2021,volo,1 sack,Nov-21,,
salvia pratensis,2021,volo,2 sack,Nov-21,,
Salvia sclarea,2021,volo,1 sac,Nov-21,,
salvia sclarea,2021,volo,1 hand voll,Nov-21,,
Salvia verticilata,2021,volo,1 Kiste voll,Nov-21,,
Sanguisorba minor,2021,volo,1/4 hand,Nov-21,,
Sanguisorba minor,2021,spitzberg,1/4 voll,Nov-21,,
Sanguisorba officinalis,2021,spitzberg,1 main,Nov-21,,
Saponaria ocymoides            ,2021,orvin,,Nov-21,,
Saponaria officinalis,2021,orvin,1 hand voll,Nov-21,,
Sapponama ocymaides,2021,spitzberg,1 sac ,Nov-21,,
Satureja montana,-,-,,Nov-21,,
Saxifraga rotundifolia,-,-,,Nov-21,,
Scabiosa Columbaria,2021,spitzberg,1 sac,Nov-21,,
scabiosa columbaria,2021,spitzberg,halber sack voll,Nov-21,,
Scabiosa columbaria            ,2021,-,1 main,Nov-21,,
Scabiosa ochroleuca,2021,orvin,hand voll,Nov-21,,
Scrophularia nodosa,2021,volo,1 Kiste voll,Nov-21,,
Sedum acre,2021,spitzberg,1 hand voll,Nov-21,,
sedum album,2021,volo,1 hand voll,Nov-21,,
Sedum album                    ,2021,ursula albrecht,,Nov-21,,
Sedum reflexum,2021,spitzberg,,Nov-21,,
Sedum reflexum,2021,spitzberg,Halbe Kiste voll,Nov-21,,
Sedum sexangulare,2021,ursula albrecht,fingerspitze,Nov-21,,
Sedum teleosiuu,2021,ursula albrecht,halbe schüssel,Nov-21,,
Sedum telephium,2021,volo,1/2 Kiste,Nov-21,,
Sedum Album,2021,spitzberg,1 sac,Nov-21,,
Sempervivum arachnoideum,-,-,,Nov-21,,
Sempervivum tectorum,-,-,,Nov-21,,
Sempreuivcim tectorum,2021,volo,Halbe kiste,Nov-21,,
silene coronaria,2021,volo,1/5 kiste,Nov-21,,
silene dioica,2021,volo,1 hand voll,Nov-21,,
Silybum marianum ,-,-,,Nov-21,,
Sisyrinchium montanum ,2021,spitzberg,1/2main,Nov-21,,
solidago virgaurea,2021,spitzberg,2 mains,Nov-21,,
stachys silvatica,2021,spitzberg,2 mains,Nov-21,,
Succisa pratensis              ,-,-,,Nov-21,,
Sybillum marianum,2021,volo,1 sac,Nov-21,,
Symphytum officinale,-,-,,Nov-21,,
Sysirynchium montanum / Angustifolium,2021,Spitzberg 21,1 hand voll,Nov-21,,
Tanacetum parthenium,2021,volo,1/5 kiste,Nov-21,,
Teucrium chamaedrys            ,2021,volo,2 main,Nov-21,,
Thalictrum aquilegiifolium,2021,volo,1 main,Nov-21,,
Thymus pulegoides,2021,volo,hand voll,Nov-21,,
Thymus pulegioides,2021,volo,becher,Nov-21,,
Thymus pulegioides,2021,volo,hand voll,Nov-21,,
Thymus pulegioides             ,2021,volo,,Nov-21,,
Thymus vulagre,2021,volo,1 Kiste voll,Nov-21,,
Thymus vulgaris                ,2021,volo,,Nov-21,,
Tithonia diversifolia,2021,volo,1/4 sack ,Nov-21,,
Toucrium chamedrys,2021,volo,1 Kiste voll,Nov-21,,
Trifolium medium,2021,volo,1 hand voll,Nov-21,,
Trifolium montanum,2021,volo,1/2 hand,Nov-21,,
Trifolium rubens,2021,volo,1/2 main,Nov-21,,
Trollius europaeus,2021,spitzberg,1/2 main,Nov-21,,
Tussilago farfalla,2021,volo,1 hand voll,Nov-21,,
Tussilago farfara              ,2021,volo,,Nov-21,,
luzula nivea,2021,volo,1 sac ,Nov-21,,
valeniana officialnis,2021,pres d'orvin,1 hand voll,Nov-21,,
Valeriana officinalis,2021,volo,1/2 sac,Nov-21,,
valeriana officiualis,2021,volo,2/3 sack,Nov-21,,
verbascum lynchnitis,2021,volo,1/3 kiste,Nov-21,,
verbascum lynchnitis,2021,spitzberg sued,1 hand voll,Nov-21,,
Verbascum nigrum,2021,volo,1 Kiste voll,Nov-21,,
Verbascum nigrum,2021,volo,1/3 sack ,Nov-21,,
Verbascum nigrum               ,2021,volo,1 main,Nov-21,,
Verbascum phoeniceum,2021,volo,2/3 Kiste,Nov-21,,
Verbascum phoenicum,2021,spitzberg sued,1 Kiste voll,Nov-21,,
Verbena officinalis           ,2021,volo,,Nov-21,,
verbascum nignum,2021,volo,Halber sack,Nov-21,,
Veronica spicata               ,2021,volo,,Nov-21,,
veronica teucrium,2021,volo,1 hand voll,Nov-21,,
Viola reichenbachiana,2021,volo,1/5 sack voll,Nov-21,,
Viola tricolor 1,2021,volo,Halbe kiste voll,Nov-21,,
Astrantia Major,2021,volo,1 hand voll,Nov-21,,
Dracocephalum moldavica ,2021,volo,1/2 Kiste ,Nov-21,,
Veronica spicata               ,2021,volo,1/2 Handvoll,Nov-21,,
Salvia glutinosa               ,2021,volo,1/2 Kiste ,Nov-21,,
Campanula cervicaria ,2021,volo,1 Plastik Kiste ,Nov-21,,
Tihonia mexikana,2021,volo,1/2 Kiste ,Nov-21,,
